32 241 6 5 4 8 2 5 4 4 3 6 3 3 5 4 2 2 3 2 4 1 4 0 3 2 3 3 1 4 4 2 0 0 1 0 1 1 1 1 3 1 1 1 2 0 1 2 0 1 2 2 1 0 2 0 2 0 2 1 1 1 2 0 
88 20 7 9 4 7 6 1 4 5 2 4 5 5 3 4 3 0 4 4 2 2 2 4 2 3 3 4 3 3 2 4 0 1 1 1 1 0 2 0 1 2 2 2 1 1 0 1 2 0 2 1 0 1 1 1 1 3 2 1 3 2 1 4 
100 27 8 5 3 8 3 8 1 4 5 4 3 2 3 4 4 1 4 1 5 3 1 2 4 3 4 0 5 3 2 4 3 0 0 0 2 1 0 3 1 3 1 4 0 1 0 1 2 1 2 2 1 2 0 2 2 0 2 1 2 1 1 3 
106 35 11 2 8 0 8 1 8 3 6 3 3 5 3 4 1 3 3 4 1 2 4 3 3 4 3 2 4 4 2 5 0 1 1 0 2 1 2 0 2 1 1 1 1 1 1 0 0 2 1 2 0 1 2 2 2 3 1 3 1 3 2 1 
118 39 6 6 7 4 6 5 5 5 7 2 5 1 6 3 1 4 3 4 3 2 3 1 1 3 4 3 2 3 2 3 0 1 2 1 1 1 1 1 2 2 2 0 1 1 0 1 1 1 1 2 1 1 1 0 1 3 1 2 2 1 2 3 
112 37 4 12 1 6 8 5 1 3 5 3 6 2 4 4 0 5 1 3 5 2 2 4 2 3 3 5 3 2 1 4 1 0 1 1 1 2 1 2 0 0 1 2 1 1 0 2 1 1 1 3 1 1 2 3 2 1 2 1 3 2 1 3 
114 32 7 7 0 9 6 1 3 6 2 4 3 5 2 6 0 4 4 2 2 2 3 2 2 4 4 3 3 3 3 5 1 2 0 3 0 2 1 1 2 1 1 1 0 0 0 2 0 2 1 2 2 1 2 1 1 1 2 1 3 1 1 3 
112 34 11 1 5 5 4 8 3 5 0 4 4 4 5 4 2 4 2 4 2 1 1 4 3 3 4 3 3 4 3 4 0 0 2 1 1 1 2 0 2 1 1 1 1 3 1 1 1 1 1 0 2 1 2 2 1 2 2 2 2 2 1 3 
112 37 11 1 10 4 7 0 3 6 3 3 3 7 2 3 3 3 2 2 3 2 2 1 2 2 2 3 4 4 2 4 2 0 1 1 2 0 1 1 3 1 1 2 0 1 0 3 2 1 1 2 1 1 1 2 0 2 2 2 1 3 1 1 
120 39 2 11 5 4 2 7 2 1 6 3 3 5 4 4 2 3 1 3 3 0 2 4 2 2 1 2 2 4 1 3 3 0 1 2 0 0 1 0 0 1 1 1 2 0 2 1 2 1 1 3 2 0 2 2 1 1 1 0 2 2 2 3 
116 31 6 7 5 6 5 2 4 4 3 5 4 5 2 4 4 0 3 4 2 1 4 2 2 4 3 2 2 4 1 3 0 2 0 1 1 2 0 2 0 2 2 1 2 1 1 2 0 1 2 2 2 1 1 0 1 2 2 2 3 2 1 3 
112 33 11 5 3 8 1 11 1 4 7 4 4 4 3 4 4 0 3 3 3 2 2 4 3 2 3 1 2 5 3 5 0 1 0 2 1 2 1 2 1 1 1 0 2 0 0 0 2 0 3 1 1 1 3 2 2 1 3 1 2 3 1 4 
112 37 10 3 7 4 4 6 4 4 4 3 5 2 4 4 4 0 2 2 2 2 2 3 2 4 3 1 4 4 4 4 1 0 0 0 2 1 2 1 0 2 2 1 2 2 1 1 2 0 1 2 1 2 0 2 0 1 2 0 1 2 1 4 
116 40 5 6 4 6 4 6 2 4 1 5 4 3 3 5 1 0 1 4 0 3 3 2 1 3 3 4 1 3 4 3 0 0 1 0 1 0 0 1 2 0 0 2 0 1 2 0 0 0 0 2 0 1 2 0 0 1 2 1 1 1 2 2 
120 41 8 10 4 6 3 7 3 4 3 4 4 5 4 4 1 1 4 2 4 2 2 4 0 2 3 2 3 3 2 3 0 1 0 1 1 1 1 0 3 2 1 1 1 1 0 2 0 0 2 2 2 1 1 0 0 2 1 2 3 1 1 1 
114 31 9 8 1 6 7 5 2 5 8 1 4 4 4 4 1 5 1 2 4 2 3 2 2 4 2 2 2 3 4 3 1 2 2 1 1 0 1 1 1 2 0 1 2 1 1 1 1 1 0 1 2 2 1 2 1 4 1 1 3 2 2 3 
108 30 8 5 8 5 5 10 3 4 5 4 3 7 1 5 0 5 2 4 1 4 2 4 1 3 3 3 3 4 3 5 0 2 0 2 0 1 1 3 2 3 1 2 1 2 0 1 0 2 2 2 1 2 1 2 1 2 1 3 1 3 1 4 
