32 242 5 7 6 4 8 1 7 2 6 4 4 4 6 2 4 2 3 2 3 3 1 6 2 5 4 4 1 2 2 4 1 1 1 0 1 1 3 0 2 1 1 3 1 1 2 1 1 0 1 2 2 1 1 2 1 2 1 1 1 1 1 3 
60 7 9 8 3 10 3 3 6 2 3 4 5 5 2 4 4 1 0 3 1 1 3 2 5 2 2 2 5 1 6 3 3 2 2 1 1 1 1 3 2 2 1 1 0 0 2 1 1 1 2 1 2 1 3 0 2 2 1 2 2 1 2 2 
74 15 8 8 7 8 7 7 2 5 0 9 5 1 6 3 4 2 2 2 3 4 4 2 4 3 2 4 4 2 4 3 3 1 1 0 1 1 3 1 3 0 2 1 2 1 2 3 1 2 2 2 1 1 2 3 2 2 0 3 2 3 1 4 
72 20 11 0 7 8 4 6 2 5 3 7 1 4 1 7 1 4 2 4 3 2 4 2 2 2 4 5 2 2 4 5 0 0 1 2 1 2 0 2 2 1 2 2 1 1 1 2 0 0 1 2 2 1 1 2 2 1 3 1 1 2 1 3 
84 26 9 6 8 7 4 5 5 4 4 7 4 6 2 7 1 4 3 2 0 4 2 4 1 5 1 3 2 2 4 5 0 2 1 2 1 1 3 1 4 1 0 4 1 2 1 1 0 2 1 1 1 2 1 1 1 2 0 3 1 0 2 2 
88 27 3 12 3 10 10 7 1 4 3 4 5 1 4 7 4 3 3 5 3 1 2 1 5 2 2 2 4 2 5 4 0 2 2 0 2 1 1 1 4 1 0 1 1 1 2 2 1 1 2 2 2 1 1 1 2 0 1 1 2 0 3 1 
86 21 5 10 5 14 6 4 6 4 8 4 3 4 4 4 2 4 3 5 1 4 2 2 3 2 5 4 3 0 5 4 1 1 1 1 1 1 1 2 1 1 0 1 2 2 1 2 2 1 2 0 1 3 0 2 1 2 2 1 4 0 3 2 
82 22 11 2 5 4 5 11 2 4 2 4 5 3 5 4 1 2 1 3 2 2 4 3 3 2 2 2 5 2 5 3 3 1 2 0 3 0 2 2 2 1 2 0 2 0 1 0 2 1 1 1 1 1 1 1 2 1 1 2 2 2 1 4 
94 30 10 2 8 8 12 5 4 5 2 4 5 3 3 3 6 2 3 2 3 1 3 3 1 4 0 4 2 4 3 4 1 2 1 2 0 1 3 2 0 1 2 1 1 0 0 1 1 2 2 0 1 1 3 0 2 1 1 2 2 4 1 3 
88 28 5 11 7 2 5 11 0 3 6 2 3 7 3 2 3 2 5 2 4 2 3 1 4 2 4 2 3 1 3 4 0 1 0 2 1 1 2 1 2 1 1 2 2 1 2 1 0 2 1 1 1 1 1 0 3 0 3 2 1 2 2 2 
